,length_vas,length_oggm,area_vas,area_oggm,volume_vas,volume_oggm
1891,4375.504784914521,5500.0,6241253.196581409,7028677.39337116,426785214.42326105,596318065.2467725
1892,4372.042009297523,5400.0,6246718.290676438,6996740.849871091,428968922.5219448,601193666.9621426
1893,4368.822801559561,5500.0,6252929.095611144,6992621.060441873,430595410.30204356,604135822.2025654
1894,4365.564427863225,5400.0,6257847.484027322,6980636.2792911045,429366840.0131811,602747628.5618869
1895,4362.367039220475,5300.0,6262475.860398844,6979081.014794013,429400532.7991819,604343114.093408
1896,4358.942181982427,5400.0,6264654.222510924,6969108.771649092,426329861.1305812,598834380.207256
1897,4356.086586259164,5300.0,6270499.08857595,7008272.981563001,431746263.8848451,607469431.8281238
1898,4353.5181856904765,5400.0,6277293.2149794195,6974969.187496083,433786464.789921,608559196.1210307
1899,4351.033833450276,5200.0,6283758.983271936,6971846.285521906,434001076.2954024,608289666.5324581
1900,4348.785751216859,5300.0,6291142.665339102,6975001.416021261,435964821.10889554,611367454.9221041
1901,4346.221503046416,5200.0,6295327.321092768,6966682.539769288,432012254.90628195,606388761.5417191
1902,4343.862745440782,5300.0,6300547.124573302,6968014.540743083,433863901.76978976,609766151.1271884
1903,4341.848049974785,5200.0,6307468.8190497,6973810.5620985385,436891689.5064707,614197277.2489313
1904,4340.005751841806,5300.0,6314749.21259616,6976563.633498298,438152599.63238615,617042579.9380523
1905,4338.246309683445,5200.0,6321836.799217514,6974995.801531692,438589119.5068433,616966927.437803
1906,4336.495756461362,5200.0,6328263.431415697,6970995.932778368,438288026.3899141,614870581.813246
1907,4334.730983482296,5100.0,6333938.083481769,6973813.930429382,437771332.4512764,614324694.5280522
1908,4332.971535210389,5200.0,6339053.649728677,6976082.4560864195,437467706.39112246,615395219.9164606
1909,4331.289150303407,5100.0,6344149.091568785,6978485.999206604,437918356.64385885,618774608.5313087
1910,4329.782194936316,5200.0,6349910.248298166,6987432.961566301,439404245.2278028,623589321.4705718
1911,4328.861469877102,5100.0,6359223.1524248645,7033367.307825089,445318643.8877115,633593300.3098491
1912,4327.724921869663,5200.0,6366076.507581029,7000179.451887632,442638889.85434103,628919559.8411123
1913,4327.2590913412505,5100.0,6377218.4022412505,7049123.349592241,449740819.0590626,639479107.8919529
1914,4327.1704976048895,5200.0,6390082.84675968,7065483.57827005,453738580.69163835,647793415.1086818
1915,4327.526499845948,5100.0,6405218.440617833,7080595.460935509,458695398.7896951,655957959.3414028
1916,4327.966869873851,5200.0,6419963.5816805195,7088162.281889319,459769640.01723707,659041213.5045013
1917,4328.890618325358,5100.0,6437317.551644815,7107407.432777916,465379344.89217925,667933716.3964494
1918,4329.77325964056,5200.0,6453346.707143802,7110041.825386516,465221342.3837268,666349424.8038543
1919,4330.817972840082,5200.0,6469707.170734229,7093769.74148965,467266043.8040672,669898756.920239
1920,4332.184137664364,5200.0,6487498.885200223,7111072.706483746,471256315.23536235,674752021.4159206
1921,4333.990869071488,5300.0,6507509.527365585,7127733.9479733,476830569.4231376,682707080.5817732
1922,4335.169916116605,5200.0,6522046.092180576,7125240.289144184,470032407.8502353,674245144.3932745
1923,4336.332072042555,5300.0,6535858.8090365045,7136721.478993303,469886513.5021624,675808781.1727076
1924,4337.44394732529,5200.0,6548664.2454690505,7149481.8294037245,469547566.5846688,674284219.9650391
1925,4338.898570891289,5300.0,6563299.100169646,7196014.242484911,473726332.17510635,682798991.3786883
1926,4340.189081143766,5200.0,6576077.655139577,7179446.6213144325,472274250.68583304,682691658.991981
1927,4341.710792802313,5300.0,6589929.779104274,7196225.470265942,475180097.84453946,685587868.6152395
1928,4343.409104228442,5400.0,6604411.022262155,7210874.728191817,477670824.84157526,689176647.280579
1929,4344.886691649691,5300.0,6616710.455378383,7217907.6708106175,475552552.61708033,684136550.3977942
1930,4346.0904532469385,5400.0,6626575.571400346,7222144.325820616,472620819.2110372,678351927.6938809
1931,4347.198483341076,5300.0,6635365.228039251,7230258.927146886,471700142.23084486,676923898.8997227
1932,4348.533957602851,5400.0,6645392.588047648,7243106.079703178,474524117.0928754,680123295.865552
