,RGIId
692,RGI60-11.00693
693,RGI60-11.00694
694,RGI60-11.00695
695,RGI60-11.00696
696,RGI60-11.00697
697,RGI60-11.00698
698,RGI60-11.00699
699,RGI60-11.00700
700,RGI60-11.00701
701,RGI60-11.00702
702,RGI60-11.00703
703,RGI60-11.00704
704,RGI60-11.00705
705,RGI60-11.00706
706,RGI60-11.00707
707,RGI60-11.00708
708,RGI60-11.00709
709,RGI60-11.00710
710,RGI60-11.00711
711,RGI60-11.00712
712,RGI60-11.00713
713,RGI60-11.00714
714,RGI60-11.00715
715,RGI60-11.00716
716,RGI60-11.00717
717,RGI60-11.00718
718,RGI60-11.00719
719,RGI60-11.00720
720,RGI60-11.00721
721,RGI60-11.00722
722,RGI60-11.00723
723,RGI60-11.00724
724,RGI60-11.00725
725,RGI60-11.00726
726,RGI60-11.00727
727,RGI60-11.00728
728,RGI60-11.00729
729,RGI60-11.00730
730,RGI60-11.00731
731,RGI60-11.00732
732,RGI60-11.00733
733,RGI60-11.00734
734,RGI60-11.00735
735,RGI60-11.00736
736,RGI60-11.00737
737,RGI60-11.00738
738,RGI60-11.00739
739,RGI60-11.00740
740,RGI60-11.00741
741,RGI60-11.00742
742,RGI60-11.00743
743,RGI60-11.00744
744,RGI60-11.00745
745,RGI60-11.00746
746,RGI60-11.00747
747,RGI60-11.00748
748,RGI60-11.00749
749,RGI60-11.00750
750,RGI60-11.00751
751,RGI60-11.00752
752,RGI60-11.00753
753,RGI60-11.00754
754,RGI60-11.00755
755,RGI60-11.00756
756,RGI60-11.00757
757,RGI60-11.00758
758,RGI60-11.00759
759,RGI60-11.00760
760,RGI60-11.00761
761,RGI60-11.00762
762,RGI60-11.00763
763,RGI60-11.00764
764,RGI60-11.00765
765,RGI60-11.00766
766,RGI60-11.00767
767,RGI60-11.00768
768,RGI60-11.00769
769,RGI60-11.00770
770,RGI60-11.00771
771,RGI60-11.00772
772,RGI60-11.00773
773,RGI60-11.00774
774,RGI60-11.00775
775,RGI60-11.00776
776,RGI60-11.00777
777,RGI60-11.00778
778,RGI60-11.00779
779,RGI60-11.00780
780,RGI60-11.00781
781,RGI60-11.00782
782,RGI60-11.00783
783,RGI60-11.00784
784,RGI60-11.00785
785,RGI60-11.00786
786,RGI60-11.00787
787,RGI60-11.00788
788,RGI60-11.00789
789,RGI60-11.00790
790,RGI60-11.00791
791,RGI60-11.00792
792,RGI60-11.00793
793,RGI60-11.00794
794,RGI60-11.00795
795,RGI60-11.00796
796,RGI60-11.00797
797,RGI60-11.00798
798,RGI60-11.00799
799,RGI60-11.00800
800,RGI60-11.00801
801,RGI60-11.00802
802,RGI60-11.00803
803,RGI60-11.00804
804,RGI60-11.00805
805,RGI60-11.00806
806,RGI60-11.00807
807,RGI60-11.00808
808,RGI60-11.00809
809,RGI60-11.00810
810,RGI60-11.00811
811,RGI60-11.00812
812,RGI60-11.00813
813,RGI60-11.00814
814,RGI60-11.00815
815,RGI60-11.00816
816,RGI60-11.00817
817,RGI60-11.00818
818,RGI60-11.00819
819,RGI60-11.00820
820,RGI60-11.00821
821,RGI60-11.00822
822,RGI60-11.00823
823,RGI60-11.00824
824,RGI60-11.00825
825,RGI60-11.00826
826,RGI60-11.00827
827,RGI60-11.00828
828,RGI60-11.00829
829,RGI60-11.00830
830,RGI60-11.00831
831,RGI60-11.00832
832,RGI60-11.00833
833,RGI60-11.00834
834,RGI60-11.00835
835,RGI60-11.00836
836,RGI60-11.00837
837,RGI60-11.00838
838,RGI60-11.00839
839,RGI60-11.00840
840,RGI60-11.00841
841,RGI60-11.00842
842,RGI60-11.00843
843,RGI60-11.00844
844,RGI60-11.00845
845,RGI60-11.00846
846,RGI60-11.00847
847,RGI60-11.00848
848,RGI60-11.00849
849,RGI60-11.00850
850,RGI60-11.00851
851,RGI60-11.00852
